Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Status_encoded,approval_rate_1st,failure_rate_1st,approval_rate_2nd,failure_rate_2nd,grade_avg
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,0,0,7,0,15.5,2.8,-4.06,Dropout,0,0.8333331944444675,0.16666663888889352,0.0,0.9999998333333611,6.6
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,8,0,0,8,0,15.5,2.8,-4.06,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,13.925625
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,8,1,0,8,2,10.8,1.4,1.74,Graduate,1,0.799999840000032,0.199999960000008,0.799999840000032,0.199999960000008,12.375
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate,1,0.0,0.0,0.0,0.0,0.0
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,12,0,0,12,0,12.7,3.7,-1.7,Graduate,1,0.8749998906250137,0.12499998437500197,0.8749998906250137,0.12499998437500197,12.857142857142858
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,8,0,0,7,0,11.1,0.6,2.02,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,12.830357142857142
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,8,0,0,9,0,11.1,0.6,2.02,Graduate,1,0.857142734693895,0.1428571224489825,0.8749998906250137,0.12499998437500197,13.70547619047619
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,9,0,0,9,0,16.2,0.3,-0.92,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,12.330357142857142
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,6,0,0,6,0,16.2,0.3,-0.92,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,12.166666666666668
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,7,0,0,9,0,8.9,1.4,3.51,Graduate,1,0.9999998333333611,0.0,0.6666665555555741,0.33333327777778704,13.116666666666667
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,0,0,8,0,12.4,0.5,1.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.520833333333332
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,6,0,0,9,0,13.9,-0.3,0.79,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,12.914285714285715
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,0,0,7,0,8.9,1.4,3.51,Dropout,0,0.0,0.9999998571428775,0.1428571224489825,0.857142734693895,5.0
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,0,0,0,0,0,7.6,2.6,0.32,Dropout,0,0.0,0.99999980000004,0.0,0.99999980000004,0.0
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,10,0,0,8,2,16.2,0.3,-0.92,Dropout,0,0.199999960000008,0.799999840000032,0.399999920000016,0.599999880000024,11.0
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,8,0,0,5,0,7.6,2.6,0.32,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,11.3
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,13,0,1,11,0,12.4,0.5,1.79,Dropout,0,0.49999991666668053,0.49999991666668053,0.49999991666668053,0.49999991666668053,11.833333333333332
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,0,0,5,0,12.7,3.7,-1.7,Dropout,0,0.6666665555555741,0.33333327777778704,0.0,0.99999980000004,6.375
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,0,0,5,0,8.9,1.4,3.51,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,15.3
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,9,0,0,9,0,11.1,0.6,2.02,Graduate,1,0.7142856122449125,0.285714244897965,0.8749998906250137,0.12499998437500197,14.135428571428571
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,7,0,0,7,0,12.4,0.5,1.79,Dropout,0,0.6666665555555741,0.33333327777778704,0.8333331944444675,0.16666663888889352,13.4
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,0,0,0,0,0,16.2,0.3,-0.92,Dropout,0,0.0,0.99999980000004,0.0,0.99999980000004,0.0
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,0,0,8,0,11.1,0.6,2.02,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,12.433333333333334
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,8,0,0,9,0,11.1,0.6,2.02,Graduate,1,0.857142734693895,0.1428571224489825,0.8749998906250137,0.12499998437500197,13.644047619047619
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,0,2,7,0,12.4,0.5,1.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,12.392857142857142
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,7,0,0,7,0,12.7,3.7,-1.7,Graduate,1,0.8333331944444675,0.16666663888889352,0.9999998333333611,0.0,12.583333333333334
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,0,0,6,0,12.4,0.5,1.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.916666666666666
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,7,0,0,5,0,7.6,2.6,0.32,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,15.257142857142856
1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,12,0,0,10,0,9.4,-0.8,-3.12,Dropout,0,0.99999980000004,0.0,0.99999980000004,0.0,10.8
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,9,0,0,10,0,15.5,2.8,-4.06,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,13.319722222222222
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,10,0,0,6,0,12.4,0.5,1.79,Dropout,0,0.0,0.9999998333333611,0.0,0.9999998333333611,0.0
1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,0,9,0,5,13,0,12.4,0.5,1.79,Dropout,0,0.8333331944444675,0.16666663888889352,0.9090908264462886,0.09090908264462885,12.95
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,0,8,0,0,8,0,9.4,-0.8,-3.12,Graduate,1,0.9999998750000157,0.0,0.9999998750000157,0.0,14.935
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,0,8,0,0,12,0,16.2,0.3,-0.92,Graduate,1,0.857142734693895,0.1428571224489825,0.8749998906250137,0.12499998437500197,12.677380952380952
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,7,0,2,7,0,13.9,-0.3,0.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,12.0
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,10,0,1,10,0,13.9,-0.3,0.79,Dropout,0,0.7142856122449125,0.285714244897965,0.6249999218750099,0.3749999531250059,11.45
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate,1,0.0,0.0,0.0,0.0,0.0
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,8,0,0,7,0,8.9,1.4,3.51,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,12.5
1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,0,8,0,0,10,3,16.2,0.3,-0.92,Dropout,0,0.99999980000004,0.0,0.799999840000032,0.199999960000008,10.975
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,8,0,0,8,0,13.9,-0.3,0.79,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,12.8625
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout,0,0.0,0.0,0.0,0.0,0.0
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,12,0,0,12,0,12.4,0.5,1.79,Dropout,0,0.49999991666668053,0.49999991666668053,0.16666663888889352,0.8333331944444675,11.833333333333332
1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,8,0,0,11,0,10.8,1.4,1.74,Graduate,1,0.9999998333333611,0.0,0.49999991666668053,0.49999991666668053,12.333333333333334
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,8,0,0,11,0,10.8,1.4,1.74,Dropout,0,0.599999880000024,0.399999920000016,0.599999880000024,0.399999920000016,10.595238095238095
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,0,8,0,0,11,0,9.4,-0.8,-3.12,Dropout,0,0.6666665555555741,0.33333327777778704,0.16666663888889352,0.8333331944444675,10.75
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,0,0,6,0,8.9,1.4,3.51,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.5
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,0,0,9,0,16.2,0.3,-0.92,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,14.94920634920635
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,0,8,0,0,6,0,10.8,1.4,1.74,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,11.833333333333332
1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,8,0,0,7,0,10.8,1.4,1.74,Dropout,0,0.8333331944444675,0.16666663888889352,0.8333331944444675,0.16666663888889352,12.2
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0,0,10.8,1.4,1.74,Dropout,0,0.0,0.9999990000010001,0.0,0.99999980000004,0.0
1,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,6,17,0,7,14,0,12.4,0.5,1.79,Dropout,0,0.4999999583333368,0.4999999583333368,0.8333332638888947,0.16666665277777895,12.733333333333334
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,0,7,0,0,11,0,9.4,-0.8,-3.12,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,11.0
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,0,8,0,0,8,0,10.8,1.4,1.74,Graduate,1,0.8749998906250137,0.12499998437500197,0.8749998906250137,0.12499998437500197,13.08
1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,0,7,0,0,7,0,9.4,-0.8,-3.12,Graduate,1,0.799999840000032,0.199999960000008,0.99999980000004,0.0,11.05
1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,0,9,1,0,6,0,7.6,2.6,0.32,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,10.933333333333334
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,18,0,0,7,0,13.9,-0.3,0.79,Dropout,0,0.0,0.9999998571428775,0.0,0.9999998571428775,0.0
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,1,0,0,0,0,0,21,1,0,6,0,0,6,0,8.9,1.4,3.51,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.75
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,0,0,0,1,0,0,26,1,0,7,1,0,6,0,8.9,1.4,3.51,Dropout,0,0.33333327777778704,0.6666665555555741,0.0,0.9999998333333611,6.0
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,12,0,0,14,1,7.6,2.6,0.32,Dropout,0,0.49999991666668053,0.49999991666668053,0.0,0.9999998333333611,6.333333333333333
2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,2,11,0,0,7,0,12.7,3.7,-1.7,Graduate,1,0.9999998750000157,0.0,0.9999998333333611,0.0,12.104166666666668
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,0,0,6,0,8.9,1.4,3.51,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.5
1,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,1,0,0,1,0,1,18,0,0,7,0,0,9,0,12.4,0.5,1.79,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,14.11388888888889
1,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,1,0,1,0,0,0,19,0,0,10,0,0,7,0,13.9,-0.3,0.79,Dropout,0,0.57142848979593,0.4285713673469475,0.0,0.9999998571428775,5.98
1,53,1,9085,1,42,130.0,1,38,38,9,9,128.8,0,0,0,1,0,0,21,0,7,12,0,4,14,0,8.9,1.4,3.51,Dropout,0,0.7999999200000081,0.19999998000000202,0.5555554938271674,0.44444439506173394,13.1375
1,1,4,171,1,1,133.1,1,1,1,9,10,110.0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,16.2,0.3,-0.92,Graduate,1,0.0,0.0,0.0,0.0,0.0
2,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,1,0,0,1,0,0,36,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Dropout,0,0.0,0.9999998333333611,0.0,0.9999998333333611,0.0
4,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,0,0,0,1,0,0,43,0,13,19,0,10,14,1,15.5,2.8,-4.06,Graduate,1,0.9999999444444475,0.0,0.9999999230769291,0.0,14.431174089068826
1,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,1,0,0,1,0,0,19,0,0,0,0,0,0,0,11.1,0.6,2.02,Dropout,0,0.0,0.9999998333333611,0.0,0.9999998333333611,0.0
1,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,0,0,1,1,0,0,20,0,4,12,0,5,11,0,11.1,0.6,2.02,Graduate,1,0.99999990000001,0.0,0.9999999090909174,0.0,12.636363636363637
1,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,0,0,0,0,0,0,16.2,0.3,-0.92,Dropout,0,0.0,0.9999998333333611,0.0,0.9999998333333611,0.0
1,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,1,0,0,1,0,0,20,0,0,15,0,0,17,0,15.5,2.8,-4.06,Dropout,0,0.6666665555555741,0.33333327777778704,0.6666665555555741,0.33333327777778704,13.725
1,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,1,0,0,1,0,0,20,0,2,9,0,0,10,0,12.4,0.5,1.79,Dropout,0,0.857142734693895,0.1428571224489825,0.7142856122449125,0.285714244897965,12.783333333333333
1,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,1,0,0,1,0,0,18,0,0,8,0,0,6,0,13.9,-0.3,0.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,14.428571428571429
1,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,1,0,0,1,0,0,19,0,0,6,0,0,5,0,10.8,1.4,1.74,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,13.100000000000001
1,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,1,0,0,1,0,0,18,0,0,6,0,0,7,0,10.8,1.4,1.74,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,12.619047619047619
1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,1,0,0,1,0,0,18,0,0,7,1,0,7,1,7.6,2.6,0.32,Dropout,0,0.857142734693895,0.1428571224489825,0.857142734693895,0.1428571224489825,12.516666666666666
1,1,2,9085,1,1,140.0,1,37,38,9,7,137.0,0,0,0,1,0,0,18,0,0,12,2,0,6,0,9.4,-0.8,-3.12,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,12.271428571428572
1,1,1,9147,1,1,127.0,1,2,19,4,5,121.8,0,0,0,1,0,0,18,0,0,5,0,0,5,0,11.1,0.6,2.02,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,13.3
1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21,0,0,12,0,0,12,0,9.4,-0.8,-3.12,Dropout,0,0.49999991666668053,0.49999991666668053,0.33333327777778704,0.6666665555555741,11.0
1,1,2,9147,1,1,120.0,1,19,19,9,7,118.6,1,0,0,1,0,0,19,0,0,8,0,0,9,2,16.2,0.3,-0.92,Graduate,1,0.99999980000004,0.0,0.799999840000032,0.199999960000008,11.025
1,1,1,171,1,1,137.0,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout,0,0.0,0.0,0.0,0.0,0.0
1,1,1,9670,1,1,131.0,1,38,38,9,9,127.9,0,0,0,1,0,1,19,0,0,5,0,0,5,0,9.4,-0.8,-3.12,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,13.5
1,1,1,9085,1,1,130.0,1,19,38,4,7,121.3,1,0,0,1,0,0,19,0,0,15,0,0,13,0,15.5,2.8,-4.06,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.183333333333334
1,17,6,9556,1,1,122.0,1,1,1,4,5,117.1,1,0,0,1,0,0,19,0,0,12,0,0,0,0,13.9,-0.3,0.79,Dropout,0,0.7142856122449125,0.285714244897965,0.0,0.9999998571428775,6.05
1,44,1,9085,1,39,160.0,1,37,37,9,9,160.0,1,0,0,1,0,0,20,0,1,7,0,1,17,0,12.4,0.5,1.79,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,13.972222222222223
1,17,3,9238,1,1,131.0,1,1,39,5,3,122.6,1,0,0,1,0,0,18,0,0,7,0,0,6,0,12.4,0.5,1.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.333333333333332
1,17,6,9500,1,1,132.0,1,1,37,8,9,128.0,1,0,0,1,0,0,19,0,0,7,0,0,9,0,12.4,0.5,1.79,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,14.239126984126983
1,1,3,9500,1,1,138.0,1,19,19,5,8,124.9,1,0,0,1,0,1,18,0,0,9,0,0,9,0,13.9,-0.3,0.79,Dropout,0,0.9999998571428775,0.0,0.8749998906250137,0.12499998437500197,13.490178571428572
1,17,2,9070,1,1,130.0,1,37,37,9,9,123.7,1,0,0,1,0,0,18,0,0,6,0,0,6,0,7.6,2.6,0.32,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,12.666666666666668
1,1,4,9147,1,1,126.0,1,1,19,4,8,120.1,1,0,0,1,0,0,19,0,0,7,0,0,5,0,8.9,1.4,3.51,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,13.5
1,17,6,9500,1,1,148.0,1,1,19,3,3,131.7,1,0,0,1,0,0,19,0,0,8,0,0,7,0,13.9,-0.3,0.79,Dropout,0,0.7142856122449125,0.285714244897965,0.0,0.9999998571428775,7.0
1,43,1,9238,1,1,130.0,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,5,15,0,2,8,0,7.6,2.6,0.32,Graduate,1,0.9999998888889013,0.0,0.9999998571428775,0.0,11.69047619047619
1,1,1,9670,1,1,117.0,1,1,38,3,9,109.3,0,0,1,0,0,1,19,0,0,7,0,0,9,0,12.4,0.5,1.79,Dropout,0,0.8333331944444675,0.16666663888889352,0.6666665555555741,0.33333327777778704,12.25
1,17,1,9670,1,1,120.0,1,19,19,5,5,113.0,1,0,0,1,0,0,20,0,0,7,0,0,5,0,7.6,2.6,0.32,Graduate,1,0.799999840000032,0.199999960000008,0.799999840000032,0.199999960000008,11.85
1,1,1,9773,1,1,153.0,1,1,1,141,175,157.9,0,0,1,1,0,1,18,0,0,6,0,0,6,0,8.9,1.4,3.51,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,14.833333333333334
1,18,1,9500,1,1,178.0,1,19,1,4,8,174.7,0,0,0,1,0,0,18,0,0,8,0,0,8,0,13.9,-0.3,0.79,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,17.35625
1,1,5,9500,1,1,129.0,1,37,37,9,9,128.8,1,0,0,1,0,0,19,0,0,7,0,0,7,0,7.6,2.6,0.32,Graduate,1,0.857142734693895,0.1428571224489825,0.857142734693895,0.1428571224489825,12.666666666666666
1,1,6,9773,1,1,116.0,1,19,1,4,4,110.1,1,0,0,1,0,1,19,0,0,8,0,0,10,0,12.4,0.5,1.79,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,12.333333333333332
1,1,3,9238,1,1,135.0,1,1,12,9,10,121.0,1,0,0,1,0,1,19,0,0,7,0,0,6,0,12.4,0.5,1.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,11.416666666666668
1,1,3,9500,1,1,141.0,1,19,19,9,7,131.7,1,0,0,1,0,1,19,0,0,10,0,0,11,0,15.5,2.8,-4.06,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,12.968125
1,17,5,9853,1,1,132.0,1,37,38,5,6,119.1,1,0,0,1,0,1,19,0,0,10,0,0,9,0,9.4,-0.8,-3.12,Graduate,1,0.8333331944444675,0.16666663888889352,0.8333331944444675,0.16666663888889352,11.4
1,1,4,9254,1,1,132.0,1,12,19,9,9,124.7,1,0,0,1,0,0,19,0,0,10,0,0,10,0,7.6,2.6,0.32,Dropout,0,0.0,0.99999980000004,0.0,0.99999980000004,0.0
1,17,1,9254,1,1,113.0,1,1,37,9,10,117.2,1,0,0,1,0,0,20,0,0,8,0,0,12,0,7.6,2.6,0.32,Dropout,0,0.8333331944444675,0.16666663888889352,0.49999991666668053,0.49999991666668053,11.433333333333334
